SHORTNAME,RA,DEC,DISCOVERYNAME,DISCOVERYREFNAME,SOURCE_ID,DISTARCSEC,MULTIPLEFLAGNAME,MULTIPLEFLAGREFNAME,SPTOPTNAME,SPTOPTREFNAME,SPTNIRNAME,SPTNIRREFNAME,SPTPHONAME,SPTPHOREFNAME,LIT_PARALLAX,LIT_PARALLAX_ERROR,LIT_PARALLAXREFNAME,TMASSJ,TMASSJERR,TMASSH,TMASSHERR,TMASSK,TMASSKERR,WISEW1,WISEW1ERR,WISEW2,WISEW2ERR,WISEW3,WISEW3ERR,GUNNG,GUNNGERR,GUNNR,GUNNRERR,GUNNI,GUNNIERR,GUNNZ,GUNNZERR,GUNNY,GUNNYERR,PHOT_G_MEAN_MAG,PHOT_G_MEAN_MAG_ERROR,PHOT_G_MEAN_FLUX,PHOT_G_MEAN_FLUX_ERROR,PHOT_BP_MEAN_MAG,PHOT_BP_MEAN_MAG_ERROR,PHOT_BP_MEAN_FLUX,PHOT_BP_MEAN_FLUX_ERROR,PHOT_RP_MEAN_MAG,PHOT_RP_MEAN_MAG_ERROR,PHOT_RP_MEAN_FLUX,PHOT_RP_MEAN_FLUX_ERROR,GAIAGEST,PARALLAX,PARALLAX_ERROR,PMRA,PMRA_ERROR,PMDEC,PMDEC_ERROR
 J1246-3139 ,191.623493479,-31.660324635,WISE J124629.65-313934.2 ,2011AJ....141...54A, 6160573275451466752,  0.25,       ...,                ...,      ... ,               ... ,      T2: ,2013ApJS..205....6M,      ... ,               ... ,    87.300,     3.200,2013AJ....146..161M,    15.024,     0.040,    14.186,     0.034,    13.974,     0.056,    13.316,     0.023,    12.402,     0.024,    11.316,     0.126,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.737,     0.012,      95.6,     1.1,    22.366,     0.371,      15.6,     5.3,    18.817,     0.046,     238.7,    10.1,    21.306,   86.34, 1.61,  -15.91, 2.89, -559.80, 2.54
 J1246+6150 ,191.677938943, 61.848261973,  2MASS 12464281+6150546 ,2008AJ....135..785W, 1580526868049397632,  0.02,       ...,                ...,       L0 ,2008AJ....135..785W,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    16.121,     0.079,    15.314,     0.095,    14.794,     0.091,    14.798,     0.029,    14.510,     0.044,    12.972,     0.498,    24.330,     0.440,    22.970,     0.280,    20.106,     0.022,    18.663,     0.009,    17.800,     0.017,    20.675,     0.015,     101.2,     1.4,    21.389,     0.360,      38.5,    12.7,    18.898,     0.056,     221.5,    11.3,    20.864,   12.86, 1.08,  -51.12, 2.56,  -49.15, 2.31
 J1246+4027 ,191.695652075, 40.453719913,  2MASSW J1246467+402715 ,2000AJ....120..447K, 1521895105554830720,  0.13,       ...,                ...,       L4 ,2000AJ....120..447K,       L4 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.088,     0.046,    13.942,     0.037,    13.281,     0.039,    12.577,     0.023,    12.207,     0.023,    11.957,     0.247,-99999.000,-99999.000,    21.862,     0.053,    19.940,     0.021,    18.286,     0.013,    17.258,     0.009,    20.301,     0.005,     142.9,     0.7,    21.547,     0.137,      33.3,     4.2,    18.581,     0.024,     296.7,     6.5,    20.077,   44.17, 0.77,  129.01, 0.81, -103.37, 0.97
 J1249+4157 ,192.284724797, 41.957618660,  2MASS 12490872+4157286 ,2008AJ....135..785W, 1528191733769486720,  0.13,       ...,                ...,       L0 ,2008AJ....135..785W,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.441,     0.046,    14.694,     0.057,    14.292,     0.054,    13.916,     0.026,    13.579,     0.031,    12.887,     0.542,    24.010,     0.430,    21.785,     0.189,    19.610,     0.030,    18.110,     0.011,    17.197,     0.008,    20.074,     0.005,     176.1,     0.8,    20.782,     0.163,      67.3,    10.1,    18.395,     0.025,     352.3,     8.2,    20.231,   19.04, 0.71, -292.43, 0.83,  -83.13, 0.96
 J1249+5413 ,192.338303357, 54.227506376, SDSSJ124921.22+541340.1 ,2010AJ....139.1808S, 1570382533253393536,  0.05,       ...,                ...,       L0 ,2010AJ....139.1808S,      ... ,               ... ,   -99999.,           -99999. ,-99999.000,-99999.000,           -99999. ,    14.830,     0.030,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    19.523,     0.004,     292.5,     1.1,    21.829,     0.204,      25.6,     4.8,    17.869,     0.014,     571.6,     7.1,    19.565,   21.17, 0.39,  -21.56, 0.61,  -86.28, 0.53
 J1252+0347 ,193.158661920,  3.792973292,ULAS J125238.22+034735.0 ,2016A&A...589A..49S, 3704616555037021056,  0.17,       ...,                ...,      ... ,               ... ,      ... ,               ... ,     L0.5 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    15.988,     0.081,    15.170,     0.103,    14.630,     0.110,    14.409,     0.030,    14.145,     0.045,    11.901,-99999.000,-99999.000,-99999.000,    22.279,     0.255,    20.223,     0.016,    18.782,     0.006,    17.843,     0.009,    20.758,     0.011,      93.8,     0.9,    21.595,     0.171,      31.8,     5.0,    19.197,     0.054,     168.3,     8.4,    20.658,   14.17, 1.68, -266.68, 3.72,  -42.69, 1.84
 J1254+2938 ,193.656506569, 29.642232861,  2MASS 12543762+2938328 ,2008AJ....135..785W, 1464948134177402496,  0.04,       ...,                ...,       L0 ,2008AJ....135..785W,      ... ,               ... ,       L1 ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    15.456,     0.056,    14.596,     0.064,    14.178,     0.056,    13.777,     0.026,    13.484,     0.031,    11.957,     0.234,    21.839,     0.310,    21.919,     0.095,    19.678,     0.014,    18.234,     0.009,    17.272,     0.009,    20.360,     0.010,     135.3,     1.3,    21.269,     0.202,      43.0,     8.0,    18.476,     0.051,     326.9,    15.4,    19.991,   15.80, 2.01,  -57.66, 2.57,  -57.45, 2.18
 J1254-0122 ,193.722483224, -1.379356596,SDSSp J125453.90-012247.4,2000ApJ...536L..35L, 3688766613886655744,  0.14,       ...,                ...,       T2 ,2003AJ....126.2487B,       T2 ,2006ApJ...639.1095B,      T2p ,2016A&A...589A..49S,    84.900,     1.900,2002AJ....124.1170D,    14.891,     0.035,    14.090,     0.025,    13.837,     0.054,    13.314,     0.025,    12.406,     0.024,    10.972,     0.137,-99999.000,-99999.000,-99999.000,-99999.000,    21.768,     0.176,    18.703,     0.063,    17.146,     0.012,    20.883,     0.015,      83.6,     1.1,    21.579,     0.275,      32.3,     8.2,    18.893,     0.083,     222.7,    17.1,    21.163,   74.18, 2.31, -491.55, 4.39,  110.69, 3.21
 J1256-0224 ,194.152539193, -2.415809346,  2MASS 12563716-0224522 ,2009ApJ...694L.140S, 3685444645661181696,  0.28,       ...,                ...,  L3.5 sd ,2009AJ....138.1563B,      ... ,               ... ,      ... ,               ... ,    11.100,     2.880,2009A&A...493L..27S,    16.099,     0.105,    15.792,     0.148,    15.439,-99999.000,    15.210,     0.036,    15.005,     0.080,    12.406,-99999.000,-99999.000,-99999.000,    21.844,     0.161,    19.451,     0.017,    18.095,     0.021,    17.510,     0.010,    20.053,     0.006,     179.5,     1.1,    21.595,     0.224,      31.8,     6.6,    18.402,     0.025,     349.8,     8.2,    21.122,   12.55, 0.72, -511.25, 1.33, -300.64, 0.83
 J1256-6202 ,194.171072533,-62.034422523,    VVVJ12564163-6202039 ,2018MNRAS.474.1826S, 5863122429178232704,  0.61,       ...,                ...,     sdL7 ,2018MNRAS.474.1826S,      ... ,               ... ,   -99999.,           -99999. ,-99999.000,-99999.000,           -99999. ,    16.100,     0.010,    15.890,     0.020,    15.720,     0.030,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.750,     0.013,      94.4,     1.1,-99999.000,-99999.000,  -99999.0,-99999.0,-99999.000,-99999.000,  -99999.0,-99999.0,    22.195,   14.94, 1.68,-1129.81, 3.25,   21.29, 2.56
 J1256+1514 ,194.190936971, 15.245434670,  2MASS 12564581+1514435 ,2008AJ....135..785W, 3931187929717364608,  0.01,       ...,                ...,       L0 ,2008AJ....135..785W,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    16.133,     0.076,    15.393,     0.105,    14.920,     0.102,    14.675,     0.031,    14.390,     0.050,    12.527,-99999.000,    22.312,     0.620,    20.437,     0.960,    20.323,     0.021,    18.846,     0.013,    17.916,     0.018,    20.854,     0.010,      85.9,     0.8,    21.217,     0.281,      45.1,    11.7,    19.222,     0.057,     164.4,     8.6,    20.565,   13.12, 1.28,   10.77, 2.24,  -13.05, 1.71
 J1256+0146 ,194.236143209,  1.771047761,  2MASS 12565688+0146163 ,2008AJ....136.1290R, 3690613995284498688,  0.06,       ...,                ...,      L2: ,2008AJ....136.1290R,     L1.5 ,2014ApJ...794..143B,     L3.5 ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    14.480,     0.030,    13.516,     0.031,    12.791,     0.030,    12.341,     0.024,    12.043,     0.023,    11.445,     0.180,-99999.000,-99999.000,    21.175,     0.058,    19.016,     0.006,    17.563,     0.008,    16.613,     0.005,    19.539,     0.004,     288.3,     1.0,    21.258,     0.184,      43.4,     7.3,    17.850,     0.014,     582.0,     7.2,    19.279,   28.55, 0.74, -209.39, 1.31,  -39.11, 1.06
 J1300+1912 ,195.173420471, 19.204235586,  2MASSW J1300425+191235 ,2000AJ....120.1085G, 3941342198772052352,  0.65,       ...,                ...,       L1 ,2000AJ....120.1085G,L3 p(blue),2008ApJ...674..451B,      ... ,               ... ,    70.400,     2.500,2016ApJS..225...10F,    12.717,     0.022,    12.080,     0.023,    11.624,     0.020,    11.242,     0.022,    10.985,     0.021,    10.375,     0.084,    21.549,     0.165,    19.536,     0.020,    17.148,     0.005,    15.537,     0.012,    14.561,     0.008,    17.481,     0.002,    1917.9,     2.7,    21.040,     0.104,      53.1,     5.1,    15.833,     0.008,    3728.3,    27.4,    17.949,   71.68, 0.20, -810.52, 0.33,-1248.53, 0.23
 J1300+4214 ,195.208491150, 42.246554089,             HIP 63506 C ,2014ApJ...792..119D, 1527731931750806016,  0.15,       ...,                ...,      ... ,               ... ,       L1 ,2014ApJ...792..119D,      ... ,               ... ,    23.540,     2.372,2007A&A...474..653V,    15.150,     0.042,    14.426,     0.045,    14.006,     0.047,    13.703,     0.026,    13.428,     0.029,    12.921,     0.507,-99999.000,-99999.000,    21.461,     0.188,    19.517,     0.024,    17.954,     0.011,-99999.000,-99999.000,    19.935,     0.004,     200.2,     0.8,    21.254,     0.197,      43.6,     7.9,    18.217,     0.025,     414.9,     9.6,    20.087,   23.22, 0.53, -391.03, 0.60,   23.94, 0.97
 J1301+5841 ,195.450664565, 58.684574785,  2MASS 13014817+5841043 ,2010AJ....139.1808S, 1578634642898321664,  0.23,       ...,                ...,       L1 ,2010AJ....139.1808S,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    16.099,     0.085,    15.452,     0.106,    14.862,     0.102,    14.444,     0.026,    14.185,     0.034,    12.349,-99999.000,    22.336,-99999.000,    20.447,-99999.000,    20.343,     0.017,    18.744,     0.025,    17.811,     0.017,    20.828,     0.013,      88.0,     1.0,    21.446,     0.251,      36.5,     8.4,    19.109,     0.042,     182.5,     7.0,    20.525,   14.44, 1.41,  -24.21, 3.54,    7.41, 2.03
 J1301-1510 ,195.477294221,-15.173255673,  2MASS 13015465-1510223 ,2008AJ....136.1290R, 3524663541367962624,  0.15,       ...,                ...,       L1 ,2008AJ....136.1290R,     L0.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.538,     0.037,    13.665,     0.027,    13.098,     0.030,    12.788,     0.024,    12.559,     0.025,    11.914,     0.259,    21.760,     0.164,    21.245,     0.066,    18.892,     0.006,    17.449,     0.005,    16.482,     0.007,    19.373,     0.004,     335.9,     1.3,    21.957,     0.318,      22.8,     6.7,    17.742,     0.023,     642.6,    13.3,    19.286,   32.27, 0.54, -107.94, 0.89,  -85.56, 0.58
 J1302+5126 ,195.645764239, 51.433025426,  2MASS 13023465+5126012 ,2008AJ....135..785W, 1557544674141786624,  0.13,       ...,                ...,       L0 ,2008AJ....135..785W,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.543,     0.070,    15.024,     0.089,    14.367,     0.084,    14.145,     0.026,    13.918,     0.035,    12.719,-99999.000,    24.140,     0.480,    21.795,     0.176,    20.037,     0.036,    18.481,     0.009,    17.500,     0.019,    20.488,     0.008,     120.3,     0.8,    21.601,     0.271,      31.6,     7.9,    18.773,     0.023,     248.7,     5.2,    20.435,   17.18, 0.72,  192.50, 0.89, -145.61, 1.23
 J1304+0907 ,196.137705950,  9.118677017,  2MASS 13043318+0907070 ,2010AJ....139.1808S, 3734192764989221248,  0.14,       ...,                ...,       L0 ,2010AJ....139.1808S,      ... ,               ... ,      L1: ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    15.287,     0.060,    14.569,     0.071,    13.950,     0.071,    13.643,     0.066,    13.315,     0.065,    12.235,     0.337,-99999.000,-99999.000,    21.904,     0.133,    19.636,     0.017,    18.190,     0.007,    17.208,     0.013,    20.173,     0.005,     160.8,     0.7,    21.349,     0.230,      39.9,     8.4,    18.484,     0.025,     324.5,     7.4,    20.025,   18.15, 0.77, -133.32, 1.77,   20.14, 1.29
 J1305-2541 ,196.415892809,-25.685039116,             Kelu-1 AabB ,1997ApJ...491L.107R, 6187779556809793024,  0.24,      UR; ,2008ARXIV0811.0556S,       L2 ,1999ApJ...519..802K,L0.5 p(red,2008ARXIV0811.0556S,      ... ,               ... ,    51.750,     1.160,2016AJ....152...24W,    13.414,     0.026,    12.392,     0.025,    11.747,     0.023,    11.251,     0.024,    10.922,     0.021,    10.418,     0.064,-99999.000,-99999.000,    20.254,     0.077,    17.990,     0.003,-99999.000,-99999.000,-99999.000,-99999.000,    18.658,     0.008,     649.1,     4.6,    21.436,     0.168,      36.8,     5.7,    16.788,     0.013,    1547.7,    18.4,    18.032,   53.85, 0.71, -313.48, 1.17,  -20.03, 0.82
 J1305+2046 ,196.420862997, 20.777978696,                 GJ 499C ,2003AJ....126.2421C, 3943239882828182784,  0.03,       ...,                ...,      L4: ,2003AJ....126.2421C,       L5 ,2013MNRAS.431.2745G,      ... ,               ... ,    53.180,     1.730,2007A&A...474..653V,    15.201,     0.053,    14.040,     0.042,    13.368,     0.039,    12.595,     0.024,    12.180,     0.023,    11.401,     0.179,    24.458,-99999.000,    21.482,-99999.000,    20.110,     0.017,    18.340,     0.006,    17.277,     0.007,    20.380,     0.007,     132.8,     0.8,    21.467,     0.279,      35.8,     9.2,    18.639,     0.020,     281.3,     5.2,    20.302,   50.43, 0.84,  -52.20, 1.82,   81.44, 1.08
 J1306+3820 ,196.571152417, 38.341521550,  2MASS 13061727+3820296 ,2008AJ....136.1290R, 1522768049067813504,  0.05,       ...,                ...,       L0 ,2008AJ....136.1290R,     L0.5 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.630,     0.031,    13.797,     0.040,    13.219,     0.035,    12.919,     0.024,    12.602,     0.024,    11.848,     0.211,-99999.000,-99999.000,    21.340,     0.065,    19.113,     0.007,    17.634,     0.009,    16.610,     0.005,    19.573,     0.004,     279.4,     1.1,    21.412,     0.214,      37.6,     7.4,    17.921,     0.019,     544.8,     9.6,    19.440,   28.80, 0.49, -154.47, 0.77,  -17.50, 0.62
 J1307+0246 ,196.891162273,  2.766678018,ULAS J130733.83+024602.1 ,2016A&A...589A..49S, 3692416064777472640,  0.14,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    15.051,     0.037,    14.272,     0.035,    13.786,     0.057,    13.477,     0.024,    13.193,     0.030,    12.420,     0.437,-99999.000,-99999.000,    21.422,     0.040,    19.254,     0.008,    17.805,     0.005,    16.890,     0.005,    19.750,     0.005,     237.3,     1.2,    21.460,     0.162,      36.0,     5.4,    18.106,     0.022,     459.8,     9.2,    19.775,   22.89, 0.78,  112.63, 1.76, -311.45, 0.81
 J1308+0818 ,197.128386862,  8.314751866,  2MASS 13083106+0818522 ,2010AJ....139.1808S, 3730898765591180672,  0.10,       ...,                ...,       L0 ,2010AJ....139.1808S,      ... ,               ... ,     L1.5 ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    15.127,     0.049,    14.353,     0.060,    13.845,     0.069,    13.505,     0.025,    13.280,     0.030,    12.304,     0.409,-99999.000,-99999.000,    21.522,     0.057,    19.542,     0.015,    18.145,     0.009,    17.193,     0.007,    20.068,     0.006,     177.1,     1.0,    21.299,     0.180,      41.8,     6.9,    18.392,     0.022,     353.0,     7.0,    19.901,   21.18, 0.92, -249.15, 1.99,   70.02, 0.90
 J1310+0554 ,197.511729729,  5.901156593,  2MASS 13100288+0554042 ,2008AJ....135..785W, 3729155588690513408,  0.10,       ...,                ...,       L0 ,2008AJ....135..785W,      ... ,               ... ,      ... ,               ... ,-99999.000,-99999.000,               ... ,    16.079,     0.096,    15.396,     0.101,    14.782,     0.130,    14.626,     0.029,    14.400,     0.049,    12.532,-99999.000,    22.548,     0.470,    20.583,     0.220,    20.081,     0.017,    18.617,     0.010,    17.769,     0.010,    20.688,     0.011,     100.1,     1.0,    21.025,     0.196,      53.8,     9.7,    18.987,     0.034,     204.2,     6.4,    20.487,   10.25, 1.57,  -76.37, 2.99,   -0.12, 2.41
 J1311+3629 ,197.924003899, 36.490282626,WISEPC J131141.91+362925.,2009A&A...497..619Z, 1474322432877236480,  0.16,       ...,                ...,       L6 ,2009A&A...497..619Z,L5 p(blue),2011ApJS..197...19K,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.545,     0.051,    14.752,     0.056,    14.140,     0.048,    13.529,     0.025,    13.121,     0.028,    12.091,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.559,     0.014,    18.755,     0.012,    17.645,     0.010,    20.813,     0.012,      89.2,     1.0,    21.817,     0.370,      25.9,     8.8,    19.029,     0.071,     196.4,    12.9,    20.788,   30.55, 1.60, -354.75, 2.08,   72.94, 2.45
 J1312+2909 ,198.091529644, 29.159347475,  2MASS 13122172+2909354 ,2010AJ....139.1808S, 1462623216840483328,  0.13,       ...,                ...,       L0 ,2010AJ....139.1808S,      ... ,               ... ,    L0.5p ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    15.328,     0.057,    14.776,     0.085,    14.296,     0.072,    14.001,     0.027,    13.679,     0.033,    12.872,-99999.000,-99999.000,-99999.000,    21.939,     0.030,    19.951,     0.051,    18.374,     0.027,-99999.000,-99999.000,    20.302,     0.007,     142.7,     0.9,    21.690,     0.218,      29.1,     5.9,    18.580,     0.023,     296.9,     6.2,    20.252,   20.34, 0.84,  209.96, 1.34, -128.34, 1.18
 J1312+4931 ,198.096027446, 49.523582761, SDSSJ131223.11+493126.3 ,2010AJ....139.1808S, 1556314080113737856,  0.14,       ...,                ...,       L0 ,2010AJ....139.1808S,      ... ,               ... ,   -99999.,           -99999. ,-99999.000,-99999.000,           -99999. ,    16.200,     0.080,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.808,     0.010,      89.6,     0.9,    21.771,     0.185,      27.1,     4.6,    19.092,     0.058,     185.3,    10.0,    20.935,   11.93, 1.29,  -48.38, 1.45, -104.68, 3.28
 J1315+1103 ,198.824327539, 11.054217754,ULAS J131517.96+110316.2 ,2016A&A...589A..49S, 3733327449338012928,  0.12,       ...,                ...,      ... ,               ... ,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,           -99999. ,    15.559,     0.079,    14.734,     0.054,    14.257,     0.073,    13.949,     0.027,    13.696,     0.033,    12.450,     0.451,-99999.000,-99999.000,    21.796,     0.037,    19.560,     0.026,    18.100,     0.012,    17.209,     0.007,    20.094,     0.006,     172.9,     0.9,    21.531,     0.234,      33.7,     7.3,    18.437,     0.021,     338.9,     6.5,    20.152,   14.95, 0.79, -198.21, 1.88, -141.53, 1.12
 J1315-2649 ,198.875261811,-26.832308592,  2MASS 13153094-2649513 ,2002ApJ...564L..89H, 6186534394250282752,  0.40,      UR; ,2011ApJ...735..116B,     L5.5 ,2008ApJ...689.1295K,L3.5:: + T,2011ApJ...735..116B,      ... ,               ... ,    52.120,     1.200,2016AJ....152...24W,    15.195,     0.051,    14.058,     0.035,    13.462,     0.043,    12.736,     0.023,    12.318,     0.023,    11.747,     0.177,-99999.000,-99999.000,-99999.000,-99999.000,    20.288,     0.085,    18.331,     0.020,    17.246,     0.015,    20.365,     0.010,     134.7,     1.3,    21.833,     0.225,      25.6,     5.3,    18.570,     0.024,     299.8,     6.6,    20.115,   53.87, 1.13, -688.63, 1.90, -288.12, 1.39
 J1315+2454 ,198.939637772, 24.901972003,  2MASS 13154557+2454072 ,2010AJ....139.1808S, 1447035882875220736,  0.02,       ...,                ...,       L0 ,2010AJ....139.1808S,      ... ,               ... ,     L0.5 ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    15.536,     0.065,    14.765,     0.072,    14.360,     0.068,    14.005,     0.026,    13.674,     0.033,    12.720,     0.484,    21.517,-99999.000,    19.656,-99999.000,    19.864,     0.018,    18.348,     0.013,    17.373,     0.008,    20.311,     0.006,     141.6,     0.8,    21.559,     0.224,      32.9,     6.8,    18.643,     0.024,     280.1,     6.3,    20.003,   17.67, 0.65,  -54.01, 1.40,  -15.13, 1.03
 J1320+0409 ,200.182345421,  4.152157248,  2MASS 13204427+0409045 ,2008AJ....136.1290R, 3715937882671184128,  0.25,       ...,                ...,     L3:: ,2008AJ....136.1290R,     L2.5 ,2014ApJ...794..143B,     L3.5 ,2016A&A...589A..49S,    32.300,     0.860,2007A&A...474..653V,    15.246,     0.046,    14.302,     0.029,    13.621,     0.046,    13.179,     0.024,    12.933,     0.026,    12.095,-99999.000,-99999.000,-99999.000,    22.060,     0.143,    19.705,     0.014,    18.390,     0.020,    17.365,     0.012,    20.289,     0.009,     144.5,     1.2,    22.003,     0.323,      21.8,     6.5,    18.587,     0.027,     295.0,     7.4,    20.172,   32.27, 0.71, -505.62, 1.48,  204.71, 1.08
 J1323-1806 ,200.899385113,-18.110748799,      DENIS-P J1323-1806 ,1999AJ....118.2466M, 3507934197073671424,  0.04,       ...,                ...,       L0 ,1999AJ....118.2466M,       L0 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    14.903,     0.036,    14.193,     0.046,    13.663,     0.047,    13.331,     0.025,    13.069,     0.030,    12.845,     0.530,-99999.000,-99999.000,    21.349,     0.266,    19.447,     0.009,    17.965,     0.009,    16.970,     0.007,    19.917,     0.007,     203.6,     1.4,    21.940,     0.507,      23.1,    10.8,    18.272,     0.025,     394.6,     9.1,    19.791,   16.35, 0.73, -109.20, 1.35,  -46.69, 0.92
 J1325+0517 ,201.296300778,  5.284101700,  2MASS 13251108+0517041 ,2010AJ....139.1808S, 3716508254328262528,  0.14,       ...,                ...,       L1 ,2010AJ....139.1808S,      ... ,               ... ,       L1 ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    15.086,     0.045,    14.523,     0.047,    13.910,     0.055,    13.584,     0.026,    13.303,     0.029,    12.183,-99999.000,    20.826,-99999.000,    21.850,     0.032,    19.612,     0.020,    18.086,     0.016,    17.161,     0.008,    20.067,     0.007,     177.3,     1.1,    21.638,     0.368,      30.6,    10.4,    18.442,     0.041,     337.2,    12.6,    19.910,   26.35, 0.97,   19.37, 1.73,  -99.72, 1.00
 J1327+0759 ,201.812721979,  7.993867030,  2MASS 13271524+0759375 ,2010AJ....139.1808S, 3719698865272751616,  2.81,       ...,                ...,       L1 ,2010AJ....139.1808S,     L0.5 ,2014ApJ...794..143B,     L2.5 ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    14.599,     0.039,    13.785,     0.042,    13.236,     0.037,    12.833,     0.024,    12.552,     0.025,    12.086,     0.369,    24.753,     0.557,    21.848,     0.101,    19.164,     0.010,    17.682,     0.005,    16.693,     0.007,    19.586,     0.007,     275.9,     1.7,-99999.000,-99999.000,  -99999.0,-99999.0,-99999.000,-99999.000,  -99999.0,-99999.0,    19.646,   28.68, 0.54, -195.77, 1.00,   21.52, 0.57
 J1329+0357 ,202.405153459,  3.958235217,  2MASS 13293723+0357297 ,2008AJ....135..785W, 3713102066090092416,  0.17,       ...,                ...,       L0 ,2008AJ....135..785W,      ... ,               ... ,       L0 ,2016A&A...589A..49S,-99999.000,-99999.000,               ... ,    16.038,     0.097,    15.148,     0.093,    15.046,     0.142,    14.425,     0.028,    14.084,     0.041,    12.791,-99999.000,-99999.000,-99999.000,-99999.000,-99999.000,    20.151,     0.019,    18.758,     0.007,    17.799,     0.010,    20.743,     0.015,      95.1,     1.4,    21.060,     0.936,      52.1,    44.9,    19.175,     0.070,     171.7,    11.1,    20.709,   15.93, 2.01,   19.88, 3.71,   -1.95, 3.01
 J1331+3407 ,202.886041919, 34.132050421,  2MASS 13313310+3407583 ,2008AJ....136.1290R, 1470080890679613696,  0.17,       ...,                ...,       L0 ,2008AJ....136.1290R,L1 p(red) ,2010ApJS..190..100K,       L1 ,2016A&A...589A..49S,    35.570,     1.550,2016ApJ...833...96L,    14.333,     0.027,    13.401,     0.031,    12.885,     0.022,    12.577,     0.023,    12.341,     0.022,    11.754,     0.234,-99999.000,-99999.000,    20.780,     0.028,    18.575,     0.013,    17.131,     0.008,    16.178,     0.009,    19.015,     0.002,     466.8,     1.0,    21.127,     0.154,      48.9,     7.0,    17.367,     0.013,     907.8,    10.6,    19.081,   35.00, 0.40, -366.62, 0.45, -182.90, 0.33
 J1332+7459 ,203.181425173, 74.995842869,              G 255-34 B ,2013MNRAS.431.2745G, 1712614056046941824,  0.19,      VB; ,2013MNRAS.431.2745G,      ... ,               ... ,       L2 ,2013MNRAS.431.2745G,      ... ,               ... ,    27.620,     1.140,2007A&A...474..653V,    15.103,     0.041,    14.116,     0.034,    13.569,     0.032,    13.188,     0.023,    12.948,     0.024,    12.313,     0.254,-99999.000,-99999.000,-99999.000,-99999.000,    19.454,     0.006,    18.106,     0.022,    17.137,     0.011,    19.977,     0.006,     192.6,     1.1,    21.038,     0.328,      53.2,    16.0,    18.343,     0.020,     369.6,     6.9,    19.997,   27.49, 0.49, -436.90, 1.29,   49.03, 0.87
 J1333+1509 ,203.302681853, 15.165755504,  2MASS 13331284+1509569 ,2010AJ....139.1808S, 3741883608307090560,  0.08,       ...,                ...,       L0 ,2010AJ....139.1808S,       M8 ,2014ApJ...794..143B,      ... ,               ... ,-99999.000,-99999.000,               ... ,    15.839,     0.072,    15.275,     0.092,    15.086,     0.138,    14.611,     0.030,    14.369,     0.048,    12.437,-99999.000,-99999.000,-99999.000,    21.557,     0.117,    19.732,     0.013,    18.347,     0.006,    17.563,     0.012,    20.331,     0.007,     138.9,     0.9,    21.288,     0.277,      42.2,    10.8,    18.706,     0.031,     264.5,     7.5,    20.340,   11.56, 1.00, -168.06, 1.84,   -7.75, 1.00
